CENTER.X d	CENTER.Y d	COUNT i
-1.01379310	-1.01379310	0
-0.94137931	-1.01379310	0
-0.86896552	-1.01379310	0
-0.79655172	-1.01379310	0
-0.72413793	-1.01379310	0
-0.65172414	-1.01379310	0
-0.57931034	-1.01379310	0
-0.50689655	-1.01379310	0
-0.43448276	-1.01379310	0
-0.36206897	-1.01379310	0
-0.28965517	-1.01379310	0
-0.21724138	-1.01379310	0
-0.14482759	-1.01379310	0
-0.07241379	-1.01379310	0
0.00000000	-1.01379310	0
0.07241379	-1.01379310	0
0.14482759	-1.01379310	0
0.21724138	-1.01379310	0
0.28965517	-1.01379310	0
0.36206897	-1.01379310	0
0.43448276	-1.01379310	0
0.50689655	-1.01379310	0
0.57931034	-1.01379310	0
0.65172414	-1.01379310	0
0.72413793	-1.01379310	0
0.79655172	-1.01379310	0
0.86896552	-1.01379310	0
0.94137931	-1.01379310	0
1.01379310	-1.01379310	0
-1.01379310	-0.94137931	0
-0.94137931	-0.94137931	0
-0.86896552	-0.94137931	0
-0.79655172	-0.94137931	0
-0.72413793	-0.94137931	0
-0.65172414	-0.94137931	0
-0.57931034	-0.94137931	0
-0.50689655	-0.94137931	0
-0.43448276	-0.94137931	0
-0.36206897	-0.94137931	0
-0.28965517	-0.94137931	109
-0.21724138	-0.94137931	101
-0.14482759	-0.94137931	96
-0.07241379	-0.94137931	94
0.00000000	-0.94137931	94
0.07241379	-0.94137931	97
0.14482759	-0.94137931	104
0.21724138	-0.94137931	119
0.28965517	-0.94137931	148
0.36206897	-0.94137931	0
0.43448276	-0.94137931	0
0.50689655	-0.94137931	0
0.57931034	-0.94137931	0
0.65172414	-0.94137931	0
0.72413793	-0.94137931	0
0.79655172	-0.94137931	0
0.86896552	-0.94137931	0
0.94137931	-0.94137931	0
1.01379310	-0.94137931	0
-1.01379310	-0.86896552	0
-0.94137931	-0.86896552	0
-0.86896552	-0.86896552	0
-0.79655172	-0.86896552	0
-0.72413793	-0.86896552	0
-0.65172414	-0.86896552	0
-0.57931034	-0.86896552	0
-0.50689655	-0.86896552	0
-0.43448276	-0.86896552	171
-0.36206897	-0.86896552	133
-0.28965517	-0.86896552	111
-0.21724138	-0.86896552	99
-0.14482759	-0.86896552	92
-0.07241379	-0.86896552	87
0.00000000	-0.86896552	85
0.07241379	-0.86896552	85
0.14482759	-0.86896552	88
0.21724138	-0.86896552	94
0.28965517	-0.86896552	105
0.36206897	-0.86896552	127
0.43448276	-0.86896552	173
0.50689655	-0.86896552	0
0.57931034	-0.86896552	0
0.65172414	-0.86896552	0
0.72413793	-0.86896552	0
0.79655172	-0.86896552	0
0.86896552	-0.86896552	0
0.94137931	-0.86896552	0
1.01379310	-0.86896552	0
-1.01379310	-0.79655172	0
-0.94137931	-0.79655172	0
-0.86896552	-0.79655172	0
-0.79655172	-0.79655172	0
-0.72413793	-0.79655172	0
-0.65172414	-0.79655172	0
-0.57931034	-0.79655172	259
-0.50689655	-0.79655172	327
-0.43448276	-0.79655172	200
-0.36206897	-0.79655172	139
-0.28965517	-0.79655172	112
-0.21724138	-0.79655172	98
-0.14482759	-0.79655172	89
-0.07241379	-0.79655172	83
0.00000000	-0.79655172	80
0.07241379	-0.79655172	78
0.14482759	-0.79655172	79
0.21724138	-0.79655172	82
0.28965517	-0.79655172	88
0.36206897	-0.79655172	99
0.43448276	-0.79655172	118
0.50689655	-0.79655172	155
0.57931034	-0.79655172	263
0.65172414	-0.79655172	0
0.72413793	-0.79655172	0
0.79655172	-0.79655172	0
0.86896552	-0.79655172	0
0.94137931	-0.79655172	0
1.01379310	-0.79655172	0
-1.01379310	-0.72413793	0
-0.94137931	-0.72413793	0
-0.86896552	-0.72413793	0
-0.79655172	-0.72413793	0
-0.72413793	-0.72413793	0
-0.65172414	-0.72413793	295
-0.57931034	-0.72413793	309
-0.50689655	-0.72413793	214
-0.43448276	-0.72413793	166
-0.36206897	-0.72413793	132
-0.28965517	-0.72413793	110
-0.21724138	-0.72413793	96
-0.14482759	-0.72413793	86
-0.07241379	-0.72413793	80
0.00000000	-0.72413793	76
0.07241379	-0.72413793	74
0.14482759	-0.72413793	73
0.21724138	-0.72413793	74
0.28965517	-0.72413793	78
0.36206897	-0.72413793	86
0.43448276	-0.72413793	98
0.50689655	-0.72413793	117
0.57931034	-0.72413793	152
0.65172414	-0.72413793	243
0.72413793	-0.72413793	0
0.79655172	-0.72413793	0
0.86896552	-0.72413793	0
0.94137931	-0.72413793	0
1.01379310	-0.72413793	0
-1.01379310	-0.65172414	0
-0.94137931	-0.65172414	0
-0.86896552	-0.65172414	0
-0.79655172	-0.65172414	0
-0.72413793	-0.65172414	409
-0.65172414	-0.65172414	404
-0.57931034	-0.65172414	272
-0.50689655	-0.65172414	189
-0.43448276	-0.65172414	150
-0.36206897	-0.65172414	124
-0.28965517	-0.65172414	106
-0.21724138	-0.65172414	93
-0.14482759	-0.65172414	84
-0.07241379	-0.65172414	77
0.00000000	-0.65172414	73
0.07241379	-0.65172414	70
0.14482759	-0.65172414	69
0.21724138	-0.65172414	69
0.28965517	-0.65172414	72
0.36206897	-0.65172414	78
0.43448276	-0.65172414	86
0.50689655	-0.65172414	100
0.57931034	-0.65172414	120
0.65172414	-0.65172414	157
0.72413793	-0.65172414	256
0.79655172	-0.65172414	0
0.86896552	-0.65172414	0
0.94137931	-0.65172414	0
1.01379310	-0.65172414	0
-1.01379310	-0.57931034	0
-0.94137931	-0.57931034	0
-0.86896552	-0.57931034	0
-0.79655172	-0.57931034	414
-0.72413793	-0.57931034	353
-0.65172414	-0.57931034	290
-0.57931034	-0.57931034	212
-0.50689655	-0.57931034	166
-0.43448276	-0.57931034	136
-0.36206897	-0.57931034	116
-0.28965517	-0.57931034	100
-0.21724138	-0.57931034	89
-0.14482759	-0.57931034	81
-0.07241379	-0.57931034	74
0.00000000	-0.57931034	70
0.07241379	-0.57931034	67
0.14482759	-0.57931034	65
0.21724138	-0.57931034	65
0.28965517	-0.57931034	68
0.36206897	-0.57931034	72
0.43448276	-0.57931034	79
0.50689655	-0.57931034	90
0.57931034	-0.57931034	105
0.65172414	-0.57931034	128
0.72413793	-0.57931034	171
0.79655172	-0.57931034	306
0.86896552	-0.57931034	0
0.94137931	-0.57931034	0
1.01379310	-0.57931034	0
-1.01379310	-0.50689655	0
-0.94137931	-0.50689655	0
-0.86896552	-0.50689655	0
-0.79655172	-0.50689655	356
-0.72413793	-0.50689655	256
-0.65172414	-0.50689655	208
-0.57931034	-0.50689655	172
-0.50689655	-0.50689655	145
-0.43448276	-0.50689655	123
-0.36206897	-0.50689655	107
-0.28965517	-0.50689655	95
-0.21724138	-0.50689655	85
-0.14482759	-0.50689655	77
-0.07241379	-0.50689655	72
0.00000000	-0.50689655	67
0.07241379	-0.50689655	64
0.14482759	-0.50689655	62
0.21724138	-0.50689655	62
0.28965517	-0.50689655	64
0.36206897	-0.50689655	68
0.43448276	-0.50689655	74
0.50689655	-0.50689655	84
0.57931034	-0.50689655	96
0.65172414	-0.50689655	114
0.72413793	-0.50689655	141
0.79655172	-0.50689655	197
0.86896552	-0.50689655	0
0.94137931	-0.50689655	0
1.01379310	-0.50689655	0
-1.01379310	-0.43448276	0
-0.94137931	-0.43448276	0
-0.86896552	-0.43448276	231
-0.79655172	-0.43448276	234
-0.72413793	-0.43448276	194
-0.65172414	-0.43448276	167
-0.57931034	-0.43448276	145
-0.50689655	-0.43448276	127
-0.43448276	-0.43448276	111
-0.36206897	-0.43448276	99
-0.28965517	-0.43448276	89
-0.21724138	-0.43448276	80
-0.14482759	-0.43448276	74
-0.07241379	-0.43448276	69
0.00000000	-0.43448276	64
0.07241379	-0.43448276	61
0.14482759	-0.43448276	60
0.21724138	-0.43448276	60
0.28965517	-0.43448276	61
0.36206897	-0.43448276	65
0.43448276	-0.43448276	71
0.50689655	-0.43448276	79
0.57931034	-0.43448276	90
0.65172414	-0.43448276	105
0.72413793	-0.43448276	127
0.79655172	-0.43448276	163
0.86896552	-0.43448276	247
0.94137931	-0.43448276	0
1.01379310	-0.43448276	0
-1.01379310	-0.36206897	0
-0.94137931	-0.36206897	0
-0.86896552	-0.36206897	213
-0.79655172	-0.36206897	186
-0.72413793	-0.36206897	158
-0.65172414	-0.36206897	141
-0.57931034	-0.36206897	126
-0.50689655	-0.36206897	113
-0.43448276	-0.36206897	101
-0.36206897	-0.36206897	91
-0.28965517	-0.36206897	83
-0.21724138	-0.36206897	76
-0.14482759	-0.36206897	70
-0.07241379	-0.36206897	66
0.00000000	-0.36206897	62
0.07241379	-0.36206897	59
0.14482759	-0.36206897	57
0.21724138	-0.36206897	57
0.28965517	-0.36206897	59
0.36206897	-0.36206897	63
0.43448276	-0.36206897	69
0.50689655	-0.36206897	77
0.57931034	-0.36206897	87
0.65172414	-0.36206897	100
0.72413793	-0.36206897	118
0.79655172	-0.36206897	147
0.86896552	-0.36206897	200
0.94137931	-0.36206897	0
1.01379310	-0.36206897	0
-1.01379310	-0.28965517	0
-0.94137931	-0.28965517	207
-0.86896552	-0.28965517	175
-0.79655172	-0.28965517	150
-0.72413793	-0.28965517	135
-0.65172414	-0.28965517	122
-0.57931034	-0.28965517	111
-0.50689655	-0.28965517	101
-0.43448276	-0.28965517	92
-0.36206897	-0.28965517	84
-0.28965517	-0.28965517	77
-0.21724138	-0.28965517	72
-0.14482759	-0.28965517	67
-0.07241379	-0.28965517	62
0.00000000	-0.28965517	59
0.07241379	-0.28965517	56
0.14482759	-0.28965517	55
0.21724138	-0.28965517	55
0.28965517	-0.28965517	58
0.36206897	-0.28965517	62
0.43448276	-0.28965517	68
0.50689655	-0.28965517	75
0.57931034	-0.28965517	85
